"Date","Price","Open","High","Low","Vol.","Change %"
"06-03-2024","161.55","164.40","164.40","157.50","95.62M","-2.59%"
"05-03-2024","165.85","170.75","171.50","164.05","29.31M","-2.33%"
"04-03-2024","169.80","168.00","175.60","168.00","55.75M","1.28%"
"02-03-2024","167.65","167.55","168.30","165.30","3.03M","0.69%"
"01-03-2024","166.50","168.00","173.50","165.60","42.59M","0.63%"
"29-02-2024","165.45","156.45","168.85","155.45","175.79M","3.83%"
"28-02-2024","159.35","161.90","161.95","155.35","41.88M","-1.21%"
"27-02-2024","161.30","163.75","163.85","158.00","29.92M","-1.77%"
"26-02-2024","164.20","165.20","168.50","163.15","33.43M","0.09%"
"23-02-2024","164.05","162.40","164.80","160.80","37.20M","1.20%"
"22-02-2024","162.10","159.55","163.00","156.60","67.61M","2.17%"
"21-02-2024","158.65","162.30","167.80","157.60","91.14M","-1.49%"
"20-02-2024","161.05","159.70","163.80","158.70","85.36M","2.25%"
"19-02-2024","157.50","157.45","160.45","155.60","60.22M","0.51%"
"16-02-2024","156.70","156.90","160.00","155.35","61.21M","1.19%"
"15-02-2024","154.85","157.00","159.20","154.00","77.37M","1.71%"
"14-02-2024","152.25","152.95","153.75","150.10","38.22M","-1.62%"
"13-02-2024","154.75","154.35","157.90","149.00","79.94M","0.62%"
"12-02-2024","153.80","151.00","158.80","149.50","155.85M","2.91%"
"09-02-2024","149.45","146.90","151.40","142.25","257.92M","3.71%"
"08-02-2024","144.10","142.50","147.50","139.00","184.84M","2.64%"
"07-02-2024","140.40","141.00","142.90","139.65","75.08M","0.32%"
"06-02-2024","139.95","140.40","141.80","138.05","46.78M","-0.21%"
"05-02-2024","140.25","145.00","145.40","138.25","54.19M","-2.47%"
"02-02-2024","143.80","141.80","145.00","141.45","78.67M","2.31%"
"01-02-2024","140.55","141.00","143.50","138.55","70.25M","0.72%"
"31-01-2024","139.55","140.00","142.00","138.00","89.83M","1.71%"
"30-01-2024","137.20","135.85","138.80","134.65","57.61M","1.22%"
"29-01-2024","135.55","136.90","137.70","132.35","55.87M","-0.44%"
"25-01-2024","136.15","135.90","138.20","132.80","60.68M","-0.04%"
"24-01-2024","136.20","131.45","136.90","129.80","54.61M","4.69%"
"23-01-2024","130.10","136.30","137.30","127.00","72.52M","-2.98%"
"20-01-2024","134.10","135.45","136.90","132.00","25.82M","-0.70%"
"19-01-2024","135.05","130.50","135.50","128.00","81.16M","4.33%"
"18-01-2024","129.45","128.05","129.80","121.60","111.95M","1.61%"
"17-01-2024","127.40","132.40","132.40","126.75","76.78M","-4.61%"
"16-01-2024","133.55","135.00","135.30","131.00","47.04M","0.11%"
"15-01-2024","133.40","139.55","139.85","132.85","53.57M","-4.41%"
"12-01-2024","139.55","140.00","141.50","136.80","45.51M","0.87%"
"11-01-2024","138.35","135.30","139.00","135.05","41.81M","2.75%"
"10-01-2024","134.65","134.25","136.15","132.25","29.92M","0.26%"
"09-01-2024","134.30","133.20","135.00","132.60","33.80M","1.09%"
"08-01-2024","132.85","133.65","133.65","130.00","38.91M","-0.34%"
"05-01-2024","133.30","130.90","134.35","128.95","55.61M","2.74%"
"04-01-2024","129.75","128.40","130.90","126.45","45.29M","1.72%"
"03-01-2024","127.55","128.80","130.25","127.10","39.10M","-0.89%"
"02-01-2024","128.70","127.00","129.45","125.50","69.40M","3.37%"
"01-01-2024","124.50","124.45","125.60","122.85","24.23M","0.65%"
"29-12-2023","123.70","124.00","125.55","123.25","27.51M","0.41%"
"28-12-2023","123.20","124.90","125.50","120.60","72.87M","-3.03%"
"27-12-2023","127.05","125.70","127.60","125.55","21.76M","1.64%"
"26-12-2023","125.00","128.50","128.70","124.30","25.50M","-2.72%"
"22-12-2023","128.50","130.55","131.00","125.30","63.11M","0.90%"
"21-12-2023","127.35","122.15","128.70","120.20","52.33M","2.08%"
"20-12-2023","124.75","130.35","131.00","123.15","49.01M","-4.22%"
"19-12-2023","130.25","129.00","131.75","127.40","64.12M","1.32%"
"18-12-2023","128.55","123.40","129.20","121.55","89.55M","4.00%"
"15-12-2023","123.60","124.50","125.00","122.40","39.54M","-0.44%"
"14-12-2023","124.15","121.00","124.95","120.50","74.18M","3.46%"
"13-12-2023","120.00","116.90","120.50","116.15","48.09M","2.78%"
"12-12-2023","116.75","119.00","119.30","114.15","40.80M","-1.44%"
"11-12-2023","118.45","119.95","120.50","117.55","32.37M","-1.25%"
"08-12-2023","119.95","123.00","123.90","119.30","44.21M","-1.44%"
"07-12-2023","121.70","119.60","122.20","118.40","52.48M","2.35%"
"06-12-2023","118.90","117.15","119.70","116.60","48.17M","1.84%"
"05-12-2023","116.75","117.90","118.25","116.25","57.48M","-0.55%"
"04-12-2023","117.40","118.75","119.00","116.25","66.06M","0.95%"
"01-12-2023","116.30","118.00","118.35","115.10","57.26M","-1.90%"
"30-11-2023","118.55","118.80","120.70","116.15","225.21M","1.67%"
"29-11-2023","116.60","117.00","119.20","114.00","115.27M","2.46%"
"28-11-2023","113.80","114.90","116.90","113.50","61.96M","0.49%"
"24-11-2023","113.25","114.15","116.00","112.90","49.98M","0.27%"
"23-11-2023","112.95","113.60","115.75","112.50","56.33M","-2.04%"
"22-11-2023","115.30","116.00","117.80","114.35","52.80M","-1.03%"
"21-11-2023","116.50","118.55","119.00","116.05","45.19M","-1.40%"
"20-11-2023","118.15","122.85","123.40","117.35","52.78M","-3.31%"
"17-11-2023","122.20","122.00","125.00","121.50","43.88M","0.29%"
"16-11-2023","121.85","120.90","122.55","120.70","36.90M","1.33%"
"15-11-2023","120.25","123.30","125.20","119.75","60.09M","-1.60%"
"13-11-2023","122.20","122.65","123.10","121.50","28.35M","-0.89%"
"12-11-2023","123.30","123.25","123.95","122.50","10.52M","1.65%"
"10-11-2023","121.30","122.00","123.30","120.70","43.39M","-0.45%"
"09-11-2023","121.85","125.25","125.55","121.35","50.31M","-2.64%"
"08-11-2023","125.15","122.00","125.70","121.30","75.04M","3.17%"
